game_id,game_fmt
barrage-2005.9-7573,.xml
classic-2014.11-608,.xml
classic-2006.1-7468,.xml
classic-2013.11-2130,.xml
classic-2006.7-4714,.xml
barrage-2014.0-2894,.xml
classic-2006.2-4133,.xml
classic-2005.9-347,.xml
classic.2003.06.25.273,.gsn
classic-2006.2-3176,.xml
classic-2005.11-4225,.xml
classic-2005.10-2130,.xml
classic-2005.9-5199,.xml
classic-2006.7-1771,.xml
classic-2014.9-1104,.xml
ultimate_lightning-2005.10-971,.xml
ultimate.2003.11.10.4168,.gsn
classic-2005.10-2901,.xml
classic-2006.2-7137,.xml
ultimate.2003.05.08.384,.gsn
classic.2003.12.09.2500,.gsn
classic-2005.10-6390,.xml
ultimate.2003.09.09.5736,.gsn
classic-2006.0-6280,.xml
classic-2005.9-3511,.xml
classic-2006.7-3122,.xml
classic-2006.0-1650,.xml
classic-2005.10-965,.xml
classic-2015.0-1002,.xml
classic-2006.0-303,.xml
classic.2003.07.04.104,.gsn
classic-2006.0-45,.xml
classic-2014.8-665,.xml
classic-2006.4-2306,.xml
classic.2003.06.19.192,.gsn
barrage-2014.6-1009,.xml
classic-2006.4-1486,.xml
classic.2003.09.28.2359,.gsn
classic-2006.2-6865,.xml
classic-2006.7-1410,.xml
classic-2005.9-6508,.xml
classic.2003.06.15.248,.gsn
classic.2003.11.22.4676,.gsn
classic-2005.10-2894,.xml
barrage-2006.2-2947,.xml
classic-2013.11-742,.xml
classic-2005.11-3553,.xml
barrage-2006.1-1848,.xml
classic-2014.2-2785,.xml
classic.2003.07.09.23,.gsn
classic-2006.4-5797,.xml
classic.2003.06.12.160,.gsn
classic-2006.1-2203,.xml
classic.2003.10.07.5061,.gsn
classic.2003.06.16.199,.gsn
classic-2006.0-1612,.xml
classic-2006.0-637,.xml
classic.2003.05.14.80,.gsn
classic-2005.10-2271,.xml
classic-2006.2-3991,.xml
classic-2013.10-144,.xml
classic-2006.1-2754,.xml
classic-2006.1-2174,.xml
classic-2006.1-1081,.xml
classic-2015.1-2506,.xml
classic-2006.0-1739,.xml
classic-2005.10-6751,.xml
classic-2006.0-141,.xml
classic-2006.0-2266,.xml
classic.2003.12.27.2769,.gsn
classic-2005.11-5455,.xml
classic.2003.09.04.5694,.gsn
classic.2003.08.07.5771,.gsn
barrage-2014.1-1040,.xml
classic-2006.2-8739,.xml
classic-2005.11-3835,.xml
classic-2005.10-4653,.xml
classic-2006.5-3797,.xml
classic.2003.07.07.737,.gsn
classic-2014.10-1686,.xml
classic-2006.0-4514,.xml
classic-2006.2-3249,.xml
classic-2006.0-2396,.xml
classic-2006.7-5509,.xml
barrage-2014.4-554,.xml
classic.2003.08.23.3524,.gsn
classic-2005.11-2251,.xml
classic-2006.4-5899,.xml
barrage-2014.1-1820,.xml
classic.2003.05.27.227,.gsn
classic-2015.0-481,.xml
barrage-2014.8-164,.xml
classic.2003.09.26.4253,.gsn
classic-2006.0-1093,.xml
classic-2013.11-1953,.xml
classic.2003.12.21.5834,.gsn
classic-2006.4-4914,.xml
classic-2006.2-4109,.xml
classic-2006.4-1780,.xml
classic-2005.9-7710,.xml
classic-2014.6-1486,.xml
classic-2006.0-1256,.xml
classic-2006.1-3975,.xml
classic-2014.2-632,.xml
ultimate.2003.05.15.151,.gsn
classic.2003.06.06.292,.gsn
classic.2003.11.25.2021,.gsn
classic.2003.08.09.2515,.gsn
classic-2005.10-1645,.xml
classic.2003.06.19.545,.gsn
classic-2014.8-1727,.xml
classic-2006.2-8478,.xml
classic-2006.2-3264,.xml
classic-2014.2-1391,.xml
classic-2006.1-8075,.xml
classic-2006.7-3424,.xml
classic-2005.9-5244,.xml
classic.2003.08.09.1722,.gsn
classic-2006.7-1017,.xml
classic-2006.1-8007,.xml
classic-2014.7-1476,.xml
classic-2015.0-194,.xml
classic-2006.1-8496,.xml
classic-2005.10-1891,.xml
classic-2014.2-1052,.xml
barrage-2006.2-1688,.xml
classic-2006.1-8084,.xml
classic-2015.0-724,.xml
classic-2015.2-1274,.xml
classic-2006.0-6638,.xml
classic-2014.10-1498,.xml
classic-2006.5-230,.xml
classic-2005.10-4671,.xml
classic-2006.0-1210,.xml
classic.2003.11.19.422,.gsn
classic-2006.0-6065,.xml
classic-2014.9-1527,.xml
classic-2006.2-812,.xml
classic-2006.2-1269,.xml
classic-2005.9-7097,.xml
classic-2014.3-155,.xml
classic-2006.2-5635,.xml
classic-2015.0-217,.xml
classic-2006.0-4729,.xml
classic-2006.5-2417,.xml
classic-2014.1-1658,.xml
classic-2014.0-474,.xml
classic-2006.0-7057,.xml
classic-2005.10-8184,.xml
classic-2013.11-2531,.xml
classic-2005.10-3178,.xml
classic-2014.6-857,.xml
classic.2003.08.12.3960,.gsn
barrage-2006.4-4851,.xml
classic-2006.2-4017,.xml
classic-2005.11-2062,.xml
classic-2015.0-14,.xml
classic-2005.11-209,.xml
classic-2005.11-1868,.xml
classic-2006.1-879,.xml
classic-2005.11-7539,.xml
classic-2015.2-1396,.xml
classic-2014.5-1179,.xml
classic.2003.12.12.4872,.gsn
classic-2006.2-5720,.xml
classic-2006.2-4250,.xml
classic-2014.4-2349,.xml
