game_id,game_fmt,game_type,field_content,game_length,name1,name2,result_type,winner
barrage-2006.2-411,.xml,barrage,AAAAAAAAALDAMAAAAABAKAAACADAAAAAAEAAAAAAAA__AA__AAAA__AA__AAAQAAANAAAAAAAXAAAAAPAAAAAWAAAAYOAAAAAPAA,25,Player 1,Player 2,1,1
barrage.2003.09.07.735,.gsn,barrage,MDDAAAAAAABCLAAAAAAAAKAAAAAAAAAAAAAAEAAAAA__AA__AAAA__AA__AAPPAAAAAAAAWXAAAAAAAAONAAAAAAAAYQAAAAAAAA,97,red,blue,1,1
barrage-2014.1-3209,.xml,barrage,MDAAAAAAAABAAAAAAAAAAAAAAAAAAAKLAACEAADAAA__AA__AAAA__AA__AAQNAAAXAAOWAAAAAAAAAAAAAAAAAAAPAAAAAAAAPY,57,Player 1,Player 2,0,2
barrage-2014.9-184,.xml,barrage,BDAAAAAAAADAAAAAAAAAAAAAAAAAAACLAAKMAAEAAA__AA__AAAA__AA__AAXPAAQOAAAAAAAAAAAAAANAAAAAAAAAYWAPAAAAAA,87,Player 1,Player 2,0,1
barrage-2014.9-385,.xml,barrage,BDAAAAAAAADAAAAAAAAAAAAAAAAAAACEAALKAAMAAA__AA__AAAA__AA__AAQWAAPOAAAAPAAAAAAAAAXAAAAAAAAAYNAAAAAAAA,35,Player 1,Player 2,0,2
barrage-2014.1-1421,.xml,barrage,BMAAAAAAAADAAAAAAAAADAAAAAAAAAELAAKCAAAAAA__AA__AAAA__AA__AAAOAWAAAAAANXAAAAAAAAYPAAAAAAAAPQAAAAAAAA,84,Player 1,Player 2,2,3
barrage-2006.4-6421,.xml,barrage,CDAAAAAAKMEAAAAAAAABAAAAAAAAAAAAADAALAAAAA__AA__AAAA__AA__AAPWANYXAQOPAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,48,Player 1,Player 2,1,2
barrage-2015.0-643,.xml,barrage,MDAAAAAAAADAAAAAAAAAAAAAAAAAAALBAEKCAAAAAA__AA__AAAA__AA__AAPXAAPAAAAQAAAAAAAAWAAAAAAAAAAAAAAYAONAAA,45,Player 1,Player 2,3,1
barrage-2014.10-1695,.xml,barrage,AAAAAAAABMAAAAAAAAADAAAAAAAADCAAAAALAAEKAA__AA__AAAA__AA__AAAAXAAAOAAAPPWAAAAAAANAAAAAAAAAYQAAAAAAAA,65,Player 1,Player 2,3,1
barrage.2003.05.16.6,.gsn,barrage,AAAAAAAAABAAAADEAAAMAAACAAAADAAAAAALAAKAAA__AA__AAAA__AA__AAAAAAAAAAAAAAAAWQAXAAAAAAPOPYAAAAAANAAAAA,35,red,blue,1,1
