game_id,game_fmt,game_type,field_content,game_length,name1,name2,result_type,winner
ultimate.2003.05.24.286,.gsn,ultimate lightning,ADEDAEDABBAADHAACAHMIFJAGAKAALAAAAAFAAAGAA__AA__AAAA__AA__AAAVAAXAAARWSAOAPATAAAQAAAPSATPUARAAPANQNY,65,red,blue,1,1
ultimate.2003.05.30.390,.gsn,ultimate lightning,AAEMDDAHDDEBAAAACHAABIAKALAAJAGGAAFAAAFAAA__AA__AAAA__AA__AAVSRUASAAAAPAAAAAAARANXPOAATWAAYTQNPAPQAA,96,red,blue,1,2
ultimate_lightning-2014.2-2022,.xml,ultimate lightning,MBAEDAAADABEAADAAAAAKCAHAAAAJAGFHADILAGFAA__AA__AAAA__AA__AAAAAAAATAAAAAVAAAWXAAATOAQPUPQSAAPSNRYRNP,114,Player 1,Player 2,3,1
ultimate.2003.12.10.5915,.gsn,ultimate lightning,ADADHEMBDEAAAFAHCADBIAKAAALJAAGAAAAFAAAGAA__AA__AAAA__AA__AAAVAXAAROUAARAQAAAYWAASNTAASTPAAAPQAAPNPA,166,red,blue,0,1
ultimate_lightning-2005.9-7645,.xml,ultimate lightning,EAAADAAHAEAAHFADAABABAAAKAMAIDFJACAGLADGAA__AA__AAAA__AA__AAAVASAATASAAAPAARAXAAAAWTAAPOUARQNPAAYNPQ,114,Player 1,Player 2,1,2
ultimate.2003.06.12.358,.gsn,ultimate lightning,ADAAABGMFAADAAAGEHFAADAAAACLIJADAAHKABAEAA__AA__AAAA__AA__AAXAAAAAAAQARVAARAPAAAYTUOAQAAWTSNAPSNPAAP,114,red,blue,1,2
ultimate.2003.12.28.3644,.gsn,ultimate lightning,AFAHDEMBDDAAAAHACJFBAAAKAALAAGAAAADGAAIEAA__AA__AAAA__AA__AAAVAXPPORATARAANPAAWAAASUQNSAAQPAAYAAATAA,121,red,blue,1,1
ultimate_lightning-2005.11-2906,.xml,ultimate lightning,BEGADADAADMEDJBFIFAAHCAHLAAAAAGKAAAAAAAAAA__AA__AAAA__AA__AAAAAAAAAAAAWSAAQSAAAAAAOTAAXTRPPQNNUPYRVP,306,Player 1,Player 2,1,2
ultimate.2003.06.02.187,.gsn,ultimate lightning,FAMADDDABBIAHAADAHAEAALAKAACJAEGAAFAAAGAAA__AA__AAAA__AA__AAUAAASANNASVRAAWATTAAPRPAAAOAXQPPAAAAAAQY,103,red,blue,1,1
ultimate_lightning-2005.10-7187,.xml,ultimate lightning,DEBBAAMEDDDLAAAAAACHAJAAAAAAKAAIAGFFHAGAAA__AA__AAAA__AA__AAAAAAAAAAAAPSTXRQTOSWAAAAAAAAAAPVRYQUNNPP,67,Player 1,Player 2,3,2
ultimate.2003.12.09.4486,.gsn,ultimate lightning,AAAABFMDEEAAAAAAFDLCAAAAGABDDKAAAAHIAJHGAA__AA__AAAA__AA__AAAVRAAWOSTPAATAAAPUXSPAAAAAAQRNPQAAAAAANY,80,red,blue,1,2
ultimate.2003.05.10.141,.gsn,ultimate lightning,EEDDGDDFBMAAAAAAAAFBAAAAAAAAAAGIHHAJCALKAA__AA__AAAA__AA__AAAASOAAQRAAAAWAAAAXAAAPTAAPVSQAAPNYTURNPA,75,red,blue,1,1
ultimate_lightning-2014.7-429,.xml,ultimate lightning,AADDADAABMAHAAAAAJFBAAAADCAAAEFEHAGKALGIAA__AA__AAAA__AA__AARQAAQVPXPSWAAATOAAUNAAAAAAAPRNAAAAAAPTSY,243,Player 1,Player 2,3,2
ultimate.2003.05.31.95,.gsn,ultimate lightning,DECBDHMHGBFFJKDGLIDEAAAAAAAAAAAAAAAAAAAAAA__AA__AAAA__AA__AASAAAAARAAAWAAXASNVAUTAOAAATPRPQAYAAQNPAP,86,red,blue,1,2
ultimate.2003.07.12.766,.gsn,ultimate lightning,JAFDGKAFGDDCBMAAADLAAIAEAAHAAAAAAAHEABAAAA__AA__AAAA__AA__AAAAPAAAAARSQAAPAQAXAAASWARUOATVNATPAAPNAY,114,red,blue,1,2
ultimate_lightning-2005.9-3436,.xml,ultimate lightning,DABMFDBHAFALAADCAAKAAGAAJDAAGAHEAAAAAAEIAA__AA__AAAA__AA__AASRTQSAAAAAXRUOWAAAAANPPPTAAAAAYNQPVAAAAA,143,Player 1,Player 2,1,1
ultimate_lightning-2014.8-1680,.xml,ultimate lightning,MBAEAAAAAFBAADDDDAAAGCAAAAAAAEKHALFGIAJHAA__AA__AAAA__AA__AAVRAXUSATSNOTAAPRAAWAQQAAPAAAAAYNPAPAAAAA,99,Player 1,Player 2,1,1
ultimate.2003.09.26.3975,.gsn,ultimate lightning,AFADBBMAFDAAAKHEACJDAAAGAALHDIAAAAEAAAAGAA__AA__AAAA__AA__AAASAAUXAASANWATAATOVNQPAYPPAAPQAARAAARAAA,151,red,blue,3,1
ultimate.2003.10.08.2669,.gsn,ultimate lightning,EFFADDAABMEHAAAAAHABAACAAAAALKJGAAIGDADAAA__AA__AAAA__AA__AAPNAVQNWTAXAUAASYAAATAOAAAAAPPSARAARAAAPQ,63,red,blue,1,1
ultimate.2003.09.24.4940,.gsn,ultimate lightning,GBMFGBHDEDACHADAAEDAALAAAKAAAAAJAAAAAAFIAA__AA__AAAA__AA__AARRTOSSAANQAVAAWUAATAPAAAAPANXAAPAAPAAYAQ,207,red,blue,3,2
ultimate.2003.10.21.824,.gsn,ultimate lightning,EEAADDAFBMAHAAADHAFBAAAAAAAALKIGACJDAAAGAA__AA__AAAA__AA__AAAAAAAAAAAAAAPXAAVPAAAPRNSURWPAAQTYNSOQTA,93,red,blue,1,1
ultimate.2003.05.23.226,.gsn,ultimate lightning,EDCDDAAHABEFFDAAHAAMAAAAAAAABAJGAGIAAAKLAA__AA__AAAA__AA__AAWRAASRTAATOPAXAVAAPAQNUSAAAAAAYQNAPAAAAP,116,red,blue,1,2
ultimate.2003.11.28.4774,.gsn,ultimate lightning,MABDAADHABJHACIFAKGAAALAEADAAEGFADAAAAAAAA__AA__AAAA__AA__AAUARPAVRASANSAWAAAXATAAOAATAPAAAAAYPQPNQA,146,red,blue,3,2
ultimate.2004.01.01.4678,.gsn,ultimate lightning,GBMHDDAAEDFDBIAAAAAHLAAAAAAAAAGECAFKAAJAAA__AA__AAAA__AA__AARAWOTSXAAPPAAQAUAATANPAAPAQAAARNAAVSAAAY,53,red,blue,1,1
ultimate_lightning-2014.3-1123,.xml,ultimate lightning,FDAAIMAAEEFDJKBBLCHDDAAAGGAAAHAAAAAAAAAAAA__AA__AAAA__AA__AANNQWPPSUPPAAAATTAAAARSAAAAAAOXQRAAAAAAVY,52,Player 1,Player 2,1,2
ultimate_lightning-2005.5-2105,.xml,ultimate lightning,ABEMAEAAAAAHACDDDAGAFAAJAAKABAALDAGHAAIFAA__AA__AAAA__AA__AAVSAORRATASAXATAWAAAAPPUPAAAAAPQNYNQAAAAA,193,Player 1,Player 2,1,1
ultimate.2003.05.13.259,.gsn,ultimate lightning,GFBFGDDAAAAEICBMAAAAAAJKEDHAAAAAADALAAAHAA__AA__AAAA__AA__AAARAASRAAPSPUAWAAXAAAAATOAVNQTAPAAAAQYNAP,136,red,blue,1,2
ultimate.2003.11.10.2702,.gsn,ultimate lightning,AHMHAAFFBEADAAAACBDAAAALAAKAAADDJAGAIAGEAA__AA__AAAA__AA__AANNTSRAAAAAQWPTXAAAAAOPPVRAAAAAYQPUSAAAAA,74,red,blue,3,2
ultimate_lightning-2005.10-4837,.xml,ultimate lightning,AIABMAADHDHAFAACBADAEDALAAAKEGAAAFJAGAAAAA__AA__AAAA__AA__AASAOAUAXASAAWANAPAVAQRAYANAPATAATARAPAQAP,202,Player 1,Player 2,1,2
